shot_index,frame_file,start_time,duration,end_time,purpose
1,frames/frame-001.png,0.000,2.181,2.181,Visual beat 1
2,frames/frame-002.png,2.181,1.764,3.945,Visual beat 2
3,frames/frame-003.png,3.945,1.934,5.879,Visual beat 3
4,frames/frame-004.png,5.879,1.899,7.778,Visual beat 4
5,frames/frame-005.png,7.778,2.247,10.025,Visual beat 5
6,frames/frame-006.png,10.025,2.207,12.232,Visual beat 6
7,frames/frame-007.png,12.232,2.353,14.585,Visual beat 7
8,frames/frame-008.png,14.585,1.806,16.391,Visual beat 8
9,frames/frame-009.png,16.391,2.034,18.425,Visual beat 9
10,frames/frame-010.png,18.425,1.767,20.192,Visual beat 10
11,frames/frame-011.png,20.192,1.895,22.087,Visual beat 11
12,frames/frame-012.png,22.087,2.090,24.177,Visual beat 12
13,frames/frame-013.png,24.177,1.765,25.942,Visual beat 13
14,frames/frame-014.png,25.942,1.882,27.824,Visual beat 14
15,frames/frame-015.png,27.824,2.188,30.012,Visual beat 15
16,frames/frame-016.png,30.012,2.117,32.129,Visual beat 16
17,frames/frame-017.png,32.129,1.897,34.026,Visual beat 17
18,frames/frame-018.png,34.026,2.147,36.173,Visual beat 18
19,frames/frame-019.png,36.173,2.297,38.470,Visual beat 19
20,frames/frame-020.png,38.470,1.751,40.221,Visual beat 20
21,frames/frame-021.png,40.221,2.294,42.515,Visual beat 21
22,frames/frame-022.png,42.515,2.221,44.736,Visual beat 22
23,frames/frame-023.png,44.736,1.978,46.714,Visual beat 23
24,frames/frame-024.png,46.714,1.853,48.567,Visual beat 24
25,frames/frame-025.png,48.567,2.397,50.964,Visual beat 25
26,frames/frame-026.png,50.964,1.976,52.940,Visual beat 26
27,frames/frame-027.png,52.940,1.810,54.750,Visual beat 27
28,frames/frame-028.png,54.750,1.813,56.563,Visual beat 28
29,frames/frame-029.png,56.563,2.323,58.886,Visual beat 29
30,frames/frame-030.png,58.886,2.157,61.043,Visual beat 30
31,frames/frame-031.png,61.043,2.295,63.338,Visual beat 31
32,frames/frame-032.png,63.338,2.243,65.581,Visual beat 32
33,frames/frame-033.png,65.581,2.111,67.692,Visual beat 33
34,frames/frame-034.png,67.692,2.408,70.100,Visual beat 34
35,frames/frame-035.png,70.100,2.004,72.104,Visual beat 35
36,frames/frame-036.png,72.104,2.122,74.226,Visual beat 36
37,frames/frame-037.png,74.226,2.310,76.536,Visual beat 37
38,frames/frame-038.png,76.536,2.167,78.703,Visual beat 38
39,frames/frame-039.png,78.703,2.332,81.035,Visual beat 39
40,frames/frame-040.png,81.035,2.139,83.174,Visual beat 40
41,frames/frame-041.png,83.174,2.226,85.400,Visual beat 41
42,frames/frame-042.png,85.400,1.778,87.178,Visual beat 42
43,frames/frame-043.png,87.178,1.902,89.080,Visual beat 43
44,frames/frame-044.png,89.080,1.943,91.023,Visual beat 44
45,frames/frame-045.png,91.023,1.801,92.824,Visual beat 45
46,frames/frame-046.png,92.824,1.905,94.729,Visual beat 46
47,frames/frame-047.png,94.729,1.815,96.544,Visual beat 47
48,frames/frame-048.png,96.544,1.936,98.480,Visual beat 48
49,frames/frame-049.png,98.480,2.179,100.659,Visual beat 49
50,frames/frame-050.png,100.659,1.995,102.654,Visual beat 50
51,frames/frame-051.png,102.654,1.998,104.652,Visual beat 51
52,frames/frame-052.png,104.652,1.889,106.541,Visual beat 52
53,frames/frame-053.png,106.541,1.928,108.469,Visual beat 53
54,frames/frame-054.png,108.469,2.383,110.852,Visual beat 54
55,frames/frame-055.png,110.852,2.187,113.039,Visual beat 55
56,frames/frame-056.png,113.039,2.161,115.200,Visual beat 56
57,frames/frame-057.png,115.200,1.863,117.063,Visual beat 57
58,frames/frame-058.png,117.063,2.242,119.305,Visual beat 58
59,frames/frame-059.png,119.305,1.858,121.163,Visual beat 59
60,frames/frame-060.png,121.163,2.005,123.168,Visual beat 60
61,frames/frame-061.png,123.168,2.419,125.587,Visual beat 61
62,frames/frame-062.png,125.587,2.182,127.769,Visual beat 62
63,frames/frame-063.png,127.769,2.125,129.894,Visual beat 63
64,frames/frame-064.png,129.894,2.212,132.106,Visual beat 64
65,frames/frame-065.png,132.106,2.319,134.425,Visual beat 65
66,frames/frame-066.png,134.425,2.274,136.699,Visual beat 66
67,frames/frame-067.png,136.699,1.902,138.601,Visual beat 67
68,frames/frame-068.png,138.601,1.769,140.370,Visual beat 68
69,frames/frame-069.png,140.370,1.961,142.331,Visual beat 69
70,frames/frame-070.png,142.331,1.929,144.260,Visual beat 70
71,frames/frame-071.png,144.260,1.890,146.150,Visual beat 71
72,frames/frame-072.png,146.150,2.387,148.537,Visual beat 72
73,frames/frame-073.png,148.537,2.342,150.879,Visual beat 73
74,frames/frame-074.png,150.879,1.961,152.840,Visual beat 74
75,frames/frame-075.png,152.840,2.192,155.032,Visual beat 75
76,frames/frame-076.png,155.032,2.016,157.048,Visual beat 76
77,frames/frame-077.png,157.048,2.368,159.416,Visual beat 77
78,frames/frame-078.png,159.416,2.059,161.475,Visual beat 78
79,frames/frame-079.png,161.475,1.927,163.402,Visual beat 79
80,frames/frame-080.png,163.402,1.914,165.316,Visual beat 80
81,frames/frame-081.png,165.316,2.128,167.444,Visual beat 81
82,frames/frame-082.png,167.444,1.925,169.369,Visual beat 82
83,frames/frame-083.png,169.369,2.144,171.513,Visual beat 83
84,frames/frame-084.png,171.513,2.357,173.870,Visual beat 84
85,frames/frame-085.png,173.870,2.018,175.888,Visual beat 85
86,frames/frame-086.png,175.888,1.896,177.784,Visual beat 86
87,frames/frame-087.png,177.784,2.425,180.209,Visual beat 87
88,frames/frame-088.png,180.209,2.093,182.302,Visual beat 88
89,frames/frame-089.png,182.302,1.809,184.111,Visual beat 89
90,frames/frame-090.png,184.111,1.779,185.890,Visual beat 90
91,frames/frame-091.png,185.890,1.821,187.711,Visual beat 91
92,frames/frame-092.png,187.711,2.173,189.884,Visual beat 92
93,frames/frame-093.png,189.884,2.285,192.169,Visual beat 93
94,frames/frame-094.png,192.169,2.034,194.203,Visual beat 94
95,frames/frame-095.png,194.203,1.790,195.993,Visual beat 95
96,frames/frame-096.png,195.993,2.006,197.999,Visual beat 96
97,frames/frame-097.png,197.999,2.424,200.423,Visual beat 97
98,frames/frame-098.png,200.423,2.106,202.529,Visual beat 98
99,frames/frame-099.png,202.529,2.407,204.936,Visual beat 99
100,frames/frame-100.png,204.936,2.332,207.268,Visual beat 100
101,frames/frame-101.png,207.268,1.755,209.023,Visual beat 101
102,frames/frame-102.png,209.023,2.236,211.259,Visual beat 102
103,frames/frame-103.png,211.259,2.210,213.469,Visual beat 103
104,frames/frame-104.png,213.469,2.112,215.581,Visual beat 104
105,frames/frame-105.png,215.581,1.928,217.509,Visual beat 105
106,frames/frame-106.png,217.509,2.182,219.691,Visual beat 106
107,frames/frame-107.png,219.691,1.823,221.514,Visual beat 107
108,frames/frame-108.png,221.514,2.042,223.556,Visual beat 108
109,frames/frame-109.png,223.556,2.055,225.611,Visual beat 109
110,frames/frame-110.png,225.611,2.395,228.006,Visual beat 110
111,frames/frame-111.png,228.006,2.342,230.348,Visual beat 111
112,frames/frame-112.png,230.348,1.926,232.274,Visual beat 112
113,frames/frame-113.png,232.274,2.087,234.361,Visual beat 113
114,frames/frame-114.png,234.361,1.868,236.229,Visual beat 114
115,frames/frame-115.png,236.229,2.367,238.596,Visual beat 115
116,frames/frame-116.png,238.596,2.338,240.934,Visual beat 116
117,frames/frame-117.png,240.934,1.950,242.884,Visual beat 117
118,frames/frame-118.png,242.884,2.181,245.065,Visual beat 118
119,frames/frame-119.png,245.065,2.161,247.226,Visual beat 119
120,frames/frame-120.png,247.226,1.851,249.077,Visual beat 120
121,frames/frame-121.png,249.077,2.265,251.342,Visual beat 121
122,frames/frame-122.png,251.342,2.113,253.455,Visual beat 122
123,frames/frame-123.png,253.455,2.276,255.731,Visual beat 123
124,frames/frame-124.png,255.731,2.107,257.838,Visual beat 124
125,frames/frame-125.png,257.838,1.747,259.585,Visual beat 125
126,frames/frame-126.png,259.585,1.967,261.552,Visual beat 126
127,frames/frame-127.png,261.552,1.760,263.312,Visual beat 127
128,frames/frame-128.png,263.312,2.378,265.690,Visual beat 128
129,frames/frame-129.png,265.690,2.344,268.034,Visual beat 129
130,frames/frame-130.png,268.034,2.312,270.346,Visual beat 130
131,frames/frame-131.png,270.346,1.956,272.302,Visual beat 131
132,frames/frame-132.png,272.302,1.786,274.088,Visual beat 132
133,frames/frame-133.png,274.088,2.343,276.431,Visual beat 133
134,frames/frame-134.png,276.431,2.390,278.821,Visual beat 134
135,frames/frame-135.png,278.821,1.805,280.626,Visual beat 135
136,frames/frame-136.png,280.626,2.077,282.703,Visual beat 136
137,frames/frame-137.png,282.703,1.794,284.497,Visual beat 137
138,frames/frame-138.png,284.497,2.264,286.761,Visual beat 138
139,frames/frame-139.png,286.761,2.267,289.028,Visual beat 139
140,frames/frame-140.png,289.028,1.834,290.862,Visual beat 140
141,frames/frame-141.png,290.862,2.070,292.932,Visual beat 141
142,frames/frame-142.png,292.932,2.120,295.052,Visual beat 142
143,frames/frame-143.png,295.052,1.927,296.979,Visual beat 143
144,frames/frame-144.png,296.979,2.340,299.319,Visual beat 144
145,frames/frame-145.png,299.319,2.034,301.353,Visual beat 145
146,frames/frame-146.png,301.353,1.891,303.244,Visual beat 146
147,frames/frame-147.png,303.244,2.113,305.357,Visual beat 147
148,frames/frame-148.png,305.357,2.243,307.600,Visual beat 148
149,frames/frame-149.png,307.600,1.884,309.484,Visual beat 149
150,frames/frame-150.png,309.484,1.959,311.443,Visual beat 150
151,frames/frame-151.png,311.443,2.423,313.866,Visual beat 151
152,frames/frame-152.png,313.866,2.188,316.054,Visual beat 152
153,frames/frame-153.png,316.054,2.045,318.099,Visual beat 153
154,frames/frame-154.png,318.099,2.098,320.197,Visual beat 154
155,frames/frame-155.png,320.197,1.829,322.026,Visual beat 155
156,frames/frame-156.png,322.026,1.900,323.926,Visual beat 156
157,frames/frame-157.png,323.926,1.977,325.903,Visual beat 157
158,frames/frame-158.png,325.903,2.147,328.050,Visual beat 158
159,frames/frame-159.png,328.050,1.903,329.953,Visual beat 159
160,frames/frame-160.png,329.953,1.896,331.849,Visual beat 160
161,frames/frame-161.png,331.849,1.795,333.644,Visual beat 161
162,frames/frame-162.png,333.644,2.176,335.820,Visual beat 162
163,frames/frame-163.png,335.820,1.902,337.722,Visual beat 163
164,frames/frame-164.png,337.722,2.362,340.084,Visual beat 164
165,frames/frame-165.png,340.084,2.331,342.415,Visual beat 165
166,frames/frame-166.png,342.415,1.795,344.210,Visual beat 166
167,frames/frame-167.png,344.210,1.909,346.119,Visual beat 167
168,frames/frame-168.png,346.119,2.201,348.320,Visual beat 168
169,frames/frame-169.png,348.320,1.892,350.212,Visual beat 169
170,frames/frame-170.png,350.212,1.837,352.049,Visual beat 170
171,frames/frame-171.png,352.049,2.382,354.431,Visual beat 171
172,frames/frame-172.png,354.431,2.135,356.566,Visual beat 172
173,frames/frame-173.png,356.566,2.068,358.634,Visual beat 173
174,frames/frame-174.png,358.634,2.280,360.914,Visual beat 174
175,frames/frame-175.png,360.914,2.295,363.209,Visual beat 175
176,frames/frame-176.png,363.209,1.876,365.085,Visual beat 176
177,frames/frame-177.png,365.085,1.813,366.898,Visual beat 177
178,frames/frame-178.png,366.898,2.040,368.938,Visual beat 178
179,frames/frame-179.png,368.938,2.035,370.973,Visual beat 179
180,frames/frame-180.png,370.973,2.064,373.037,Visual beat 180
181,frames/frame-181.png,373.037,2.242,375.279,Visual beat 181
182,frames/frame-182.png,375.279,2.204,377.483,Visual beat 182
183,frames/frame-183.png,377.483,2.415,379.898,Visual beat 183
184,frames/frame-184.png,379.898,1.814,381.712,Visual beat 184
185,frames/frame-185.png,381.712,2.020,383.732,Visual beat 185
186,frames/frame-186.png,383.732,1.977,385.709,Visual beat 186
187,frames/frame-187.png,385.709,2.332,388.041,Visual beat 187
